oid,zip_code,home_broadband_adoption,mobile_broadband_adoption,no_internet_access_percentage,no_home_broadband_adoption,no_mobile_broadband_adoption,no_home_broadband_adoption_1,no_mobile_broadband_adoption_1,commercial_fiber_max_isp,public_computer_center_count,workstations_in_pccs,avg_training_hrs_per_week,public_wi_fi_count,poles_reserved_by_mobile,pole_with_equipment_installed,density_of_poles_reserved
234,11428,0.7663,0.7786,0.1197,0.2337,0.2214,Medium Low Connected,Medium High Connected,3,1,21,6.9,1,3,0,0.00
235,11429,0.7828,0.8256,0.122,0.2172,0.1744,Medium Low Connected,Medium Low Connected,3,0,0,0,0,4,7,1.75
236,11430,0.7013,0.7771,0.1696,0.2987,0.2229,Medium High Connected,Medium High Connected,2,0,0,0,0,2,0,0.00
237,11432,0.7069,0.7732,0.1538,0.2931,0.2268,Medium High Connected,Medium High Connected,4,4,169,30.5,13,34,24,0.71
238,11433,0.5992,0.7593,0.2328,0.4008,0.2407,High Connected,Medium High Connected,3,4,41,39.8,16,22,14,0.64
239,11434,0.5783,0.781,0.2283,0.4217,0.219,High Connected,Medium High Connected,3,6,87,20.2,36,33,9,0.27
240,11435,0.7296,0.8142,0.1575,0.2704,0.1858,Medium High Connected,Medium Low Connected,4,1,27,0.5,6,22,25,1.14
241,11436,0.622,0.8118,0.1624,0.378,0.1882,High Connected,Medium Low Connected,3,2,25,5.8,5,12,8,0.67
242,11451,0.8296,0.9296,0.1704,0.1704,0.0704,Medium Low Connected,Low Connected,0,0,0,0,0,0,0,0
243,11691,0.6694,0.7166,0.2134,0.3306,0.2834,High Connected,High Connected,4,7,177,72,11,6,4,0.67
244,11692,0.6874,0.7776,0.1925,0.3126,0.2224,Medium High Connected,Medium High Connected,3,2,70,9.5,3,2,0,0.00
245,11693,0.6871,0.7508,0.1853,0.3129,0.2492,Medium High Connected,Medium High Connected,3,4,56,6.5,12,6,4,0.67
246,11694,0.732,0.7595,0.156,0.268,0.2405,Medium High Connected,Medium High Connected,4,2,29,2.6,11,2,8,4.00
247,11697,0.758,0.699,0.1217,0.242,0.301,Medium High Connected,High Connected,3,0,0,0,0,0,1,0.00
